compound,headline,neg,neu,pos,label
0.0,indonesia year in review 2015,0.0,1.0,0.0,0
0.0,indonesia year in review 2015,0.0,1.0,0.0,0
0.0,malaysian companies provide systems for cold room in vietnam,0.0,1.0,0.0,0
0.0,malaysian companies provide systems for cold room in vietnam,0.0,1.0,0.0,0
0.2732,cpo price recovery bodes well for dancomech midf research,0.0,0.792,0.208,1
0.2732,cpo price recovery bodes well for dancomech midf research,0.0,0.792,0.208,1
0.6124,apollo’s share price fairly valued on lack of prospects,0.158,0.342,0.5,1
0.6124,apollo’s share price fairly valued on lack of prospects,0.158,0.342,0.5,1
0.4939,eig to distribute clinelle skin care products,0.0,0.652,0.348,1
0.4939,eig to distribute clinelle skin care products,0.0,0.652,0.348,1
0.2732,digistar signs partnership agreements with react mobile and celcom,0.0,0.792,0.208,1
0.2732,digistar signs partnership agreements with react mobile and celcom,0.0,0.792,0.208,1
0.7351,positive market sentiment drives bursa malaysia to end stronger,0.0,0.53,0.47,1
0.0,eversafe rubber debuts on ace market,0.0,1.0,0.0,0
0.0,the week at a glance 23 april 2017,0.0,1.0,0.0,0
0.0,the week at a glance 23 april 2017,0.0,1.0,0.0,0
0.0,capital market remains open to all foreign companies,0.0,1.0,0.0,0
0.0,capital market remains open to all foreign companies,0.0,1.0,0.0,0
0.0,analysts boilermech a leading palm oil mill boiler,0.0,1.0,0.0,0
0.0,analysts boilermech a leading palm oil mill boiler,0.0,1.0,0.0,0
0.0,bursa malaysia ends on mixed note,0.0,1.0,0.0,0
0.0,bursa malaysia ends on mixed note,0.0,1.0,0.0,0
0.0,cni goes digital partners with 11street,0.0,1.0,0.0,0
0.0,wmg to launch rm1.3 bln new projects post-listing,0.0,1.0,0.0,0
0.0,wmg to launch rm1.3 bln new projects post-listing,0.0,1.0,0.0,0
0.0,the week at a glance 6 august 2017,0.0,1.0,0.0,0
0.0,the week at a glance 6 august 2017,0.0,1.0,0.0,0
-0.2263,marginal effects expected from tan chong motor’s lawsuit,0.213,0.787,0.0,-1
0.296,jupiter securities move necessary for cimb-china galaxy jv,0.0,0.761,0.239,1
0.0,the week at a glance 10 september 2017,0.0,1.0,0.0,0
0.0,the week at a glance 10 september 2017,0.0,1.0,0.0,0
0.7351,boilermech to gain from strong overseas market demand through current venture,0.093,0.494,0.414,1
0.7351,boilermech to gain from strong overseas market demand through current venture,0.093,0.494,0.414,1
0.0,the week at a glance 22 october 2017,0.0,1.0,0.0,0
