ID,Code,Headline,Source,Date,URL
Borneopost2016013100005533,5533,Indonesia: Year in Review 2015,Borneopost,31/1/2016 0:00,https://www.klsescreener.com/v2/news/view/15539/indonesia-year-in-review-2015
Borneopost2016013101505533,5533,Indonesia: Year in Review 2015,Borneopost,31/1/2016 1:50,https://www.klsescreener.com/v2/news/view/15539/indonesia-year-in-review-2015
Borneopost2016041900007115,7115,Malaysian companies provide systems  for cold room in Vietnam,Borneopost,19/4/2016 0:00,https://www.klsescreener.com/v2/news/view/53651/malaysian-companies-provide-systems-for-cold-room-in-vietnam
Borneopost2016041907307115,7115,Malaysian companies provide systems  for cold room in Vietnam,Borneopost,19/4/2016 7:30,https://www.klsescreener.com/v2/news/view/53651/malaysian-companies-provide-systems-for-cold-room-in-vietnam
Borneopost2016070800007091,7091,CPO price recovery bodes well for Dancomech — MIDF Research,Borneopost,8/7/2016 0:00,https://www.klsescreener.com/v2/news/view/92975/cpo-price-recovery-bodes-well-for-dancomech-midf-research
Borneopost2016070805157091,7091,CPO price recovery bodes well for Dancomech — MIDF Research,Borneopost,8/7/2016 5:15,https://www.klsescreener.com/v2/news/view/92975/cpo-price-recovery-bodes-well-for-dancomech-midf-research
Borneopost2017012000007107,7107,Apollo’s share price fairly valued on lack of prospects,Borneopost,20/1/2017 0:00,https://www.klsescreener.com/v2/news/view/182781/apollo-s-share-price-fairly-valued-on-lack-of-prospects
Borneopost2017012006357107,7107,Apollo’s share price fairly valued on lack of prospects,Borneopost,20/1/2017 6:35,https://www.klsescreener.com/v2/news/view/182781/apollo-s-share-price-fairly-valued-on-lack-of-prospects
Borneopost2017020200005081,5081,EIG to distribute Clinelle skin care products,Borneopost,2/2/2017 0:00,https://www.klsescreener.com/v2/news/view/187417/eig-to-distribute-clinelle-skin-care-products
Borneopost2017020200305081,5081,EIG to distribute Clinelle skin care products,Borneopost,2/2/2017 0:30,https://www.klsescreener.com/v2/news/view/187417/eig-to-distribute-clinelle-skin-care-products
Borneopost2017031700000029,29,Digistar signs partnership agreements with React Mobile and Celcom,Borneopost,17/3/2017 0:00,https://www.klsescreener.com/v2/news/view/207421/digistar-signs-partnership-agreements-with-react-mobile-and-celcom
Borneopost2017031706300029,29,Digistar signs partnership agreements with React Mobile and Celcom,Borneopost,17/3/2017 6:30,https://www.klsescreener.com/v2/news/view/207421/digistar-signs-partnership-agreements-with-react-mobile-and-celcom
Borneopost2017042200000190,190,Positive market sentiment drives Bursa Malaysia to end stronger,Borneopost,22/4/2017 0:00,https://www.klsescreener.com/v2/news/view/224301/positive-market-sentiment-drives-bursa-malaysia-to-end-stronger
Borneopost2017042200200190,190,Eversafe Rubber debuts on ACE market,Borneopost,22/4/2017 0:20,https://www.klsescreener.com/v2/news/view/224305/eversafe-rubber-debuts-on-ace-market
Borneopost2017042300000190,190,The week at a glance 23 April 2017,Borneopost,23/4/2017 0:00,https://www.klsescreener.com/v2/news/view/224493/the-week-at-a-glance-23-april-2017
Borneopost2017042301150190,190,The week at a glance 23 April 2017,Borneopost,23/4/2017 1:15,https://www.klsescreener.com/v2/news/view/224493/the-week-at-a-glance-23-april-2017
Borneopost2017050900000170,170,Capital market remains open to all foreign companies,Borneopost,9/5/2017 0:00,https://www.klsescreener.com/v2/news/view/229355/capital-market-remains-open-to-all-foreign-companies
Borneopost2017050906450170,170,Capital market remains open to all foreign companies,Borneopost,9/5/2017 6:45,https://www.klsescreener.com/v2/news/view/229355/capital-market-remains-open-to-all-foreign-companies
Borneopost2017071000000168,168,Analysts: Boilermech a leading palm oil mill boiler,Borneopost,10/7/2017 0:00,https://www.klsescreener.com/v2/news/view/253573/analysts-boilermech-a-leading-palm-oil-mill-boiler
Borneopost2017071000300168,168,Analysts: Boilermech a leading palm oil mill boiler,Borneopost,10/7/2017 0:30,https://www.klsescreener.com/v2/news/view/253573/analysts-boilermech-a-leading-palm-oil-mill-boiler
Borneopost2017071400000187,187,Bursa Malaysia ends on mixed note,Borneopost,14/7/2017 0:00,https://www.klsescreener.com/v2/news/view/255633/bursa-malaysia-ends-on-mixed-note
Borneopost2017071408450187,187,Bursa Malaysia ends on mixed note,Borneopost,14/7/2017 8:45,https://www.klsescreener.com/v2/news/view/255633/bursa-malaysia-ends-on-mixed-note
Borneopost2017072400005104,5104,CNI goes digital partners with 11street,Borneopost,24/7/2017 0:00,https://www.klsescreener.com/v2/news/view/258888/cni-goes-digital-partners-with-11street
Borneopost2017080100006378,6378,WMG to launch RM1.3 bln new projects post-listing,Borneopost,1/8/2017 0:00,https://www.klsescreener.com/v2/news/view/262093/wmg-to-launch-rm1-3-bln-new-projects-post-listing
Borneopost2017080107006378,6378,WMG to launch RM1.3 bln new projects post-listing,Borneopost,1/8/2017 7:00,https://www.klsescreener.com/v2/news/view/262093/wmg-to-launch-rm1-3-bln-new-projects-post-listing
Borneopost2017080600006378,6378,The week at a glance 6 August 2017,Borneopost,6/8/2017 0:00,https://www.klsescreener.com/v2/news/view/264353/the-week-at-a-glance-6-august-2017
Borneopost2017080601156378,6378,The week at a glance 6 August 2017,Borneopost,6/8/2017 1:15,https://www.klsescreener.com/v2/news/view/264353/the-week-at-a-glance-6-august-2017
Borneopost2017082300004847,4847,Marginal effects expected from Tan Chong Motor’s lawsuit,Borneopost,23/8/2017 0:00,https://www.klsescreener.com/v2/news/view/272091/marginal-effects-expected-from-tan-chong-motor-s-lawsuit
Borneopost2017090800003018,3018,Jupiter Securities move necessary for CIMB-China Galaxy JV,Borneopost,8/9/2017 0:00,https://www.klsescreener.com/v2/news/view/277997/jupiter-securities-move-necessary-for-cimb-china-galaxy-jv
